Name; Height (Inches); Height(Feet-Inches); Weight;Height(Meters);Weight(Kg)
A.C. Green;81; 6-9;220;2,0574;99,77324263
A.J. Bramlett;82; 6-10;227;2,0828;102,9478458
A.J. English;75; 6-3;175;1,905;79,36507937
A.J. Guyton;73; 6-1;180;1,8542;81,63265306
A.J. Price;74; 6-2;181;1,8796;82,0861678
A.J. Wynder;74; 6-2;180;1,8796;81,63265306
A.W. Holt;79; 6-7;210;2,0066;95,23809524
Aaron Brooks;72; 6-0;161;1,8288;73,01587302
Aaron Gray;84; 7-0;270;2,1336;122,4489796
Aaron James;80; 6-8;210;2,032;95,23809524
Aaron McKie;77; 6-5;209;1,9558;94,7845805
Aaron Miles;73; 6-1;175;1,8542;79,36507937
Aaron Swinson;77; 6-5;230;1,9558;104,30839
Aaron Williams;81; 6-9;220;2,0574;99,77324263
Abdul Jeelani;80; 6-8;210;2,032;95,23809524
Acie Earl;82; 6-10;240;2,0828;108,8435374
Acie Law;75; 6-3;195;1,905;88,43537415
Adam Harrington;77; 6-5;200;1,9558;90,70294785
Adam Keefe;81; 6-9;230;2,0574;104,30839
Adam Morrison;80; 6-8;205;2,032;92,97052154
Adonal Foyle;82; 6-10;250;2,0828;113,3786848
Adonis Jordan;71; 5-11;170;1,8034;77,09750567
Adonis Thomas;79; 6-7;200;2,0066;90,70294785
Adrian Branch;79; 6-7;185;2,0066;83,90022676
Adrian Caldwell;80; 6-8;265;2,032;120,1814059
Adrian Dantley;77; 6-5;208;1,9558;94,33106576
Adrian Griffin;77; 6-5;217;1,9558;98,41269841
Adrian Smith;73; 6-1;180;1,8542;81,63265306
Al Attles;72; 6-0;175;1,8288;79,36507937
Al Bianchi;75; 6-3;185;1,905;83,90022676
Al Butler;74; 6-2;175;1,8796;79,36507937
Al Carlson;83; 6-11;235;2,1082;106,5759637
Al Eberhard;78; 6-6;225;1,9812;102,0408163
Al Ferrari;76; 6-4;190;1,9304;86,16780045
Al Fleming;79; 6-7;215;2,0066;97,50566893
Al Hairston;73; 6-1;170;1,8542;77,09750567
Al Harrington;81; 6-9;230;2,0574;104,30839
Al Henry;81; 6-9;190;2,0574;86,16780045
Al Horford;82; 6-10;245;2,0828;111,1111111
Al Jackson;73; 6-1;185;1,8542;83,90022676
Al Jefferson;82; 6-10;265;2,0828;120,1814059
Al Roges;76; 6-4;195;1,9304;88,43537415
Al Skinner;75; 6-3;190;1,905;86,16780045
Al Thornton;80; 6-8;220;2,032;99,77324263
Al Tucker;80; 6-8;190;2,032;86,16780045
Al Wood;78; 6-6;193;1,9812;87,52834467
Al-Farouq Aminu;81; 6-9;215;2,0574;97,50566893
Alaa Abdelnaby;82; 6-10;240;2,0828;108,8435374
Alan Anderson;78; 6-6;220;1,9812;99,77324263
Alan Hardy;79; 6-7;195;2,0066;88,43537415
Alan Henderson;81; 6-9;235;2,0574;106,5759637
Alan Ogg;86; 7-2;240;2,1844;108,8435374
Alando Tucker;78; 6-6;205;1,9812;92,97052154
Albert King;78; 6-6;190;1,9812;86,16780045
Alec Burks;78; 6-6;195;1,9812;88,43537415
Alec Kessler;83; 6-11;230;2,1082;104,30839
Aleksandar Djordjevic;74; 6-2;198;1,8796;89,79591837
Aleksandar Radojevic;87; 7-3;250;2,2098;113,3786848
Alex Acker;77; 6-5;185;1,9558;83,90022676
Alex Blackwell;78; 6-6;250;1,9812;113,3786848
Alex Bradley;78; 6-6;215;1,9812;97,50566893
Alex English;79; 6-7;190;2,0066;86,16780045
Alex Garcia;75; 6-3;220;1,905;99,77324263
Alex Hannum;79; 6-7;210;2,0066;95,23809524
Alex Len;85; 7-1;255;2,159;115,6462585
Alex Scales;76; 6-4;185;1,9304;83,90022676
Alex Stivrins;80; 6-8;220;2,032;99,77324263
Alexander Johnson;81; 6-9;240;2,0574;108,8435374
Alexander Volkov;82; 6-10;218;2,0828;98,86621315
Alexey Shved;78; 6-6;190;1,9812;86,16780045
Alexis Ajinca;84; 7-0;220;2,1336;99,77324263
Alfred McGuire;74; 6-2;180;1,8796;81,63265306
Alfredrick Hughes;77; 6-5;215;1,9558;97,50566893
Allan Bristow;79; 6-7;210;2,0066;95,23809524
Allan Houston;78; 6-6;200;1,9812;90,70294785
Allan Ray;74; 6-2;190;1,8796;86,16780045
