Index,Height(Inches),Weight(Pounds),Weight(Kg),Height(Meters)
1,65.78331,112.9925,51.24376417,1.670896074
2,71.51521,136.4873,61.89900227,1.816486334
3,69.39874,153.0269,69.39995465,1.762727996
4,68.2166,142.3354,64.55120181,1.73270164
5,67.78781,144.2971,65.44086168,1.721810374
6,68.69784,123.3024,55.91945578,1.744925136
7,69.80204,141.4947,64.16993197,1.772971816
8,70.01472,136.4623,61.8876644,1.778373888
9,67.90265,112.3723,50.96249433,1.72472731
10,66.78236,120.6672,54.72435374,1.696271944
11,66.48769,127.4516,57.80117914,1.688787326
12,67.62333,114.143,51.76553288,1.717632582
13,68.30248,125.6107,56.96630385,1.734882992
14,67.11656,122.4618,55.53823129,1.704760624
15,68.27967,116.0866,52.64698413,1.734303618
16,71.0916,139.9975,63.49092971,1.80572664
17,66.461,129.5023,58.73120181,1.6881094
18,68.64927,142.9733,64.84049887,1.743691458
19,71.23033,137.9025,62.54081633,1.809250382
20,67.13118,124.0449,56.25619048,1.705131972
21,67.83379,141.2807,64.07287982,1.722978266
22,68.87881,143.5392,65.09714286,1.749521774
23,63.48115,97.90191,44.39995918,1.61242121
24,68.42187,129.5027,58.73138322,1.737915498
25,67.62804,141.8501,64.33111111,1.717752216
26,67.20864,129.7244,58.83192744,1.707099456
27,70.84235,142.4235,64.59115646,1.79939569
28,67.49434,131.5502,59.65995465,1.714356236
29,66.53401,108.3324,49.13034014,1.689963854
30,65.44098,113.8922,51.65179138,1.662200892
31,69.5233,103.3016,46.84879819,1.76589182
32,65.8132,120.7536,54.76353741,1.67165528
33,67.8163,125.7886,57.04698413,1.72253402
34,70.59505,136.2225,61.77891156,1.79311427
35,71.80484,140.1015,63.53809524,1.823842936
36,69.20613,128.7487,58.38943311,1.757835702
37,66.80368,141.7994,64.30811791,1.696813472
38,67.65893,121.2319,54.98045351,1.718536822
39,67.80701,131.3478,59.56816327,1.722298054
40,64.04535,106.7115,48.3952381,1.62675189
41,68.57463,124.3598,56.39900227,1.741795602
42,65.18357,124.8591,56.62544218,1.655662678
43,69.65814,139.6711,63.34290249,1.769316756
44,67.96731,137.3696,62.29913832,1.726369674
45,65.98088,106.4499,48.27659864,1.675914352
46,68.67249,128.7639,58.39632653,1.744281246
47,66.88088,145.6837,66.06970522,1.698774352
48,67.69868,116.819,52.97913832,1.719546472
49,69.82117,143.6215,65.13446712,1.773457718
50,69.08817,134.9325,61.19387755,1.754839518
51,69.91479,147.0219,66.67659864,1.775835666
52,67.33182,126.3285,57.29183673,1.710228228
53,70.26939,125.4839,56.90879819,1.784842506
54,69.10344,115.7084,52.47546485,1.755227376
55,65.38356,123.4892,56.00417234,1.660742424
56,70.18447,147.8926,67.07147392,1.782685538
57,70.40617,155.8987,70.70235828,1.788316718
58,66.54376,128.0742,58.08353741,1.690211504
59,66.36418,119.3701,54.13609977,1.685650172
60,67.537,133.8148,60.68698413,1.7154398
61,66.50418,128.7325,58.38208617,1.689206172
62,68.99958,137.5453,62.37882086,1.752589332
63,68.30355,129.7604,58.84825397,1.73491017
64,67.01255,128.824,58.42358277,1.70211877
65,70.80592,135.3165,61.36802721,1.798470368
66,68.21951,109.6113,49.71034014,1.732775554
67,69.05914,142.4684,64.61151927,1.754102156
68,67.73103,132.749,60.20362812,1.720368162
69,67.21568,103.5275,46.95124717,1.707278272
70,67.36763,124.7299,56.56684807,1.711137802
71,65.27033,129.3137,58.64566893,1.657866382
72,70.84278,134.0175,60.77891156,1.799406612
73,69.92442,140.3969,63.67206349,1.776080268
74,64.28508,102.8351,46.63723356,1.632841032
75,68.2452,128.5214,58.28634921,1.73342808
76,66.35708,120.2991,54.55741497,1.685469832
77,68.36275,138.6036,62.85877551,1.73641385
78,65.4769,132.9574,60.29814059,1.66311326
79,69.71947,115.6233,52.43687075,1.770874538
80,67.72554,122.524,55.56643991,1.720228716
81,68.63941,134.6254,61.05460317,1.743441014
82,66.78405,121.8986,55.28281179,1.69631487
83,70.05147,155.3767,70.46562358,1.779307338
84,66.27848,128.9418,58.4770068,1.683473392
85,69.20198,129.1013,58.5493424,1.757730292
86,69.13481,139.4733,63.25319728,1.756024174
87,67.36436,140.8901,63.89573696,1.711054744
88,70.09297,131.5916,59.67873016,1.780361438
89,70.1766,121.1232,54.93115646,1.78248564
90,68.22556,131.5127,59.64294785,1.732929224
91,68.12932,136.5479,61.92648526,1.730484728
92,70.24256,141.4896,64.16761905,1.784161024
93,71.48752,140.6104,63.76888889,1.815783008
94,69.20477,112.1413,50.85773243,1.757801158
95,70.06306,133.457,60.52471655,1.779601724
96,70.55703,131.8001,59.77328798,1.792148562
97,66.28644,120.0285,54.43469388,1.683675576
98,63.42577,123.0972,55.82639456,1.611014558
99,66.76711,128.1432,58.11482993,1.695884594
100,68.88741,115.4759,52.37002268,1.749740214
101,64.87434,102.0927,46.30054422,1.647808236
102,67.09272,130.353,59.1170068,1.704155088
103,68.34761,134.1842,60.85451247,1.736029294
104,65.61073,98.64133,44.73529705,1.666512542
105,67.75551,114.5599,51.95460317,1.720989954
106,68.0212,123.4917,56.00530612,1.72773848
107,67.66193,123.048,55.80408163,1.718613022
108,66.3146,126.4772,57.35927438,1.68439084
109,69.43706,128.417,58.23900227,1.763701324
110,63.83624,127.1941,57.68439909,1.621440496
111,67.72277,122.0562,55.35428571,1.720158358
112,70.05098,127.6064,57.87138322,1.779294892
113,70.18602,131.6423,59.70172336,1.782724908
114,65.94588,111.8955,50.7462585,1.675025352
115,70.007,122.039,55.34648526,1.7781778
116,68.61129,128.5547,58.30145125,1.742726766
117,68.80817,132.6792,60.17197279,1.747727518
118,69.76212,136.0632,61.70666667,1.771957848
119,65.45539,115.9403,52.58063492,1.662566906
120,68.82534,136.9041,62.08802721,1.748163636
121,65.8003,119.8804,54.36752834,1.67132762
122,67.21474,109.0055,49.43560091,1.707254396
123,69.42021,128.2705,58.17256236,1.763273334
124,68.94396,135.2913,61.35659864,1.751176584
125,67.9415,106.8558,48.46068027,1.7257141
126,65.62506,123.2939,55.91560091,1.666876524
127,66.49607,109.5143,49.66634921,1.689000178
128,67.92809,119.3087,54.10825397,1.725373486
129,68.89415,140.2402,63.60099773,1.74991141
130,70.241,133.9841,60.76376417,1.7841214
131,68.26623,132.5807,60.12730159,1.733962242
132,71.23161,130.6988,59.2738322,1.809282894
133,69.09747,115.5637,52.40984127,1.755075738
134,64.39693,123.7941,56.14244898,1.635682022
135,71.09585,128.1427,58.11460317,1.80583459
136,68.21868,135.9646,61.66195011,1.732754472
137,65.91721,116.6273,52.89219955,1.674297134
138,67.4369,126.8241,57.51659864,1.71289726
139,73.90107,151.3913,68.65818594,1.877087178
140,69.98149,130.4022,59.13931973,1.777529846
141,69.51862,136.2068,61.77179138,1.765772948
142,65.18437,113.3989,51.42807256,1.655682998
143,68.00869,125.3287,56.8384127,1.727420726
144,68.3384,127.5846,57.8614966,1.73579536
145,65.18417,107.1564,48.5970068,1.655677918
146,68.26209,116.4588,52.81578231,1.733857086
147,68.56865,133.8402,60.6985034,1.74164371
148,64.49675,112.8901,51.19732426,1.63821745
149,68.71053,130.7568,59.30013605,1.745247462
150,68.89148,137.7571,62.47487528,1.749843592
151,69.54011,125.4036,56.87238095,1.766318794
152,67.39964,138.4659,62.79632653,1.711950856
153,66.47521,120.8184,54.79292517,1.688470334
154,66.01217,140.1539,63.56185941,1.676709118
155,72.44434,136.7397,62.01346939,1.840086236
156,64.12642,106.1139,48.12421769,1.628811068
157,70.98112,158.9562,72.08897959,1.802920448
158,67.50124,108.7868,49.33641723,1.714531496
159,72.01515,138.7758,62.93687075,1.82918481
160,65.31143,115.9136,52.56852608,1.658910322
161,67.07509,146.2922,66.34566893,1.703707286
162,64.39148,109.8765,49.83061224,1.635543592
163,69.37003,139.0499,63.06117914,1.761998762
164,68.37921,119.9001,54.37646259,1.736831934
165,65.31018,128.3069,58.18907029,1.658878572
166,67.1369,127.2428,57.70648526,1.70527726
167,68.39468,115.2306,52.25877551,1.737224872
168,66.2918,124.7975,56.59750567,1.68381172
169,67.1866,126.9511,57.57419501,1.70653964
170,65.99156,111.2711,50.4630839,1.676185624
171,69.43393,122.6089,55.60494331,1.763621822
172,67.97463,124.2084,56.33034014,1.726555602
173,67.76133,124.6453,56.52848073,1.721137782
174,65.27864,119.5169,54.20267574,1.658077456
175,73.83364,139.2983,63.1738322,1.875374456
176,66.81312,104.8265,47.54036281,1.697053248
177,66.89411,123.0424,55.80154195,1.699110394
178,65.73568,118.8923,53.91941043,1.669686272
179,65.98283,121.4939,55.09927438,1.675963882
180,66.58396,119.2488,54.08108844,1.691232584
181,67.11294,135.0239,61.2353288,1.704668676
182,65.87481,116.228,52.71111111,1.673220174
183,66.78067,109.1731,49.51160998,1.696229018
184,68.73577,124.2237,56.33727891,1.745888558
185,66.22666,141.1645,64.02018141,1.682157164
186,65.95968,129.1501,58.57147392,1.675375872
187,68.58372,127.8693,57.99061224,1.742026488
188,66.59347,120.9244,54.84099773,1.691474138
189,66.96574,127.6466,57.88961451,1.700929796
190,68.08015,101.4693,46.01782313,1.72923581
191,70.19025,144.9927,65.75632653,1.78283235
192,65.52149,110.9523,50.3185034,1.664245846
193,67.45905,132.8625,60.25510204,1.71345987
194,67.40985,146.3385,66.36666667,1.71221019
195,69.66158,145.5894,66.02693878,1.769404132
196,65.79799,120.8431,54.80412698,1.671268946
197,66.10558,115.7813,52.50852608,1.679081732
198,68.23987,128.3019,58.18680272,1.733292698
199,68.02403,127.4718,57.81034014,1.727810362
200,71.39044,127.8761,57.99369615,1.813317176
201,65.7316,121.4997,55.10190476,1.66958264
202,66.43358,112.7148,51.11782313,1.687412932
203,70.01309,135.002,61.22539683,1.778332486
204,69.48146,128.6789,58.35777778,1.764829084
205,68.62764,124.4062,56.42004535,1.743142056
206,68.36275,140.026,63.50385488,1.73641385
207,68.39028,117.519,53.29659864,1.737113112
208,68.77413,143.8737,65.24884354,1.746862902
209,69.9236,141.1703,64.02281179,1.77605944
210,71.55542,155.9414,70.72172336,1.817507668
211,68.44764,134.0093,60.77519274,1.738570056
212,66.71398,130.0975,59.00113379,1.694535092
213,66.68413,106.2265,48.17528345,1.693776902
214,67.93699,112.0489,50.81582766,1.725599546
215,68.89855,136.1884,61.76344671,1.75002317
216,67.29191,131.236,59.51746032,1.709214514
217,69.57212,131.3231,59.55696145,1.767131848
218,67.67479,119.5261,54.20684807,1.718939666
219,69.04155,116.9965,53.05963719,1.75365537
220,67.96765,138.5255,62.82335601,1.72637831
221,65.83982,109.6518,49.72870748,1.672331428
222,65.77288,130.1569,59.02807256,1.670631152
223,71.14106,137.1114,62.18204082,1.806982924
224,67.83055,113.759,51.59138322,1.72289597
225,65.0693,114.9725,52.14172336,1.65276022
226,69.70745,127.7149,57.92058957,1.77056923
227,69.92983,121.9972,55.32752834,1.776217682
228,66.11569,117.9607,53.4969161,1.679338526
229,68.61364,127.7141,57.92022676,1.742786456
230,68.9976,117.9619,53.49746032,1.75253904
231,66.79171,125.1554,56.75981859,1.696509434
232,68.02363,141.1026,63.99210884,1.727800202
233,69.67258,145.4822,65.978322,1.769683532
234,71.82178,116.065,52.63718821,1.824273212
235,72.74676,135.7458,61.56272109,1.847767704
236,67.27951,132.9248,60.28335601,1.708899554
237,67.41015,115.6622,52.45451247,1.71221781
238,68.5315,114.3184,51.84507937,1.7407001
239,68.47126,148.952,67.55192744,1.739170004
240,68.51867,142.1878,64.48426304,1.740374218
241,63.72529,134.104,60.81814059,1.618622366
242,67.70483,141.8926,64.35038549,1.719702682
243,69.47115,138.7444,62.92263039,1.76456721
244,66.70198,134.449,60.97460317,1.694230292
